well,column,row_type,R,G,B
A1,1,control,154.8,64.6,63.6
B1,1,control,78.5,135.7,113.6
C1,1,control,40.0,89.5,167.8
D1,1,control,142.8,148.3,143.2
E1,1,experiment,109.8,96.1,125.7
F1,1,experiment,107.1,92.0,122.8
G1,1,experiment,114.1,99.0,126.6
H1,1,experiment,105.4,88.8,120.2
A2,2,control,126.3,128.2,125.2
B2,2,control,128.8,132.8,128.5
C2,2,control,127.7,131.5,129.3
D2,2,control,127.1,130.6,128.3
E2,2,experiment,92.5,89.7,148.2
F2,2,experiment,83.5,81.6,146.7
G2,2,experiment,89.4,84.9,141.7
H2,2,experiment,94.7,88.0,143.6
A3,3,control,132.3,136.5,131.2
B3,3,control,138.1,143.0,136.9
C3,3,control,139.1,143.5,137.9
D3,3,control,135.6,138.8,133.4
E3,3,experiment,171.3,115.2,113.6
F3,3,experiment,170.7,112.7,113.6
G3,3,experiment,173.6,120.4,121.2
H3,3,experiment,165.6,116.1,117.4
A4,4,control,127.1,130.4,128.2
B4,4,control,129.4,133.0,130.0
C4,4,control,128.6,131.8,128.5
D4,4,control,126.5,129.8,127.0
E4,4,experiment,89.3,78.9,113.2
F4,4,experiment,84.5,73.2,108.5
G4,4,experiment,88.1,76.7,111.0
H4,4,experiment,96.3,84.3,116.7
A5,5,control,134.6,138.6,134.8
B5,5,control,138.1,141.0,137.2
C5,5,control,137.0,139.9,135.9
D5,5,control,136.2,138.6,136.0
E5,5,experiment,96.1,88.1,127.8
F5,5,experiment,88.4,81.0,120.8
G5,5,experiment,83.8,76.8,117.4
H5,5,experiment,92.8,84.9,124.9
A6,6,control,126.1,127.8,126.2
B6,6,control,129.0,131.2,128.4
C6,6,control,127.4,129.0,126.4
D6,6,control,122.6,123.5,123.9
E6,6,experiment,73.8,75.2,138.5
F6,6,experiment,71.0,70.6,131.8
G6,6,experiment,65.6,64.9,126.2
H6,6,experiment,71.5,69.5,130.3
A7,7,control,124.6,129.2,128.7
B7,7,control,129.4,133.8,132.5
C7,7,control,127.3,131.6,130.6
D7,7,control,122.9,126.2,127.0
E7,7,experiment,82.6,63.2,100.2
F7,7,experiment,79.0,58.9,97.4
G7,7,experiment,74.1,54.3,95.6
H7,7,experiment,74.8,55.7,98.1
A8,8,control,125.1,130.3,126.9
B8,8,control,127.2,132.3,128.0
C8,8,control,127.1,132.0,128.2
D8,8,control,124.6,129.6,127.4
E8,8,experiment,52.4,63.6,150.6
F8,8,experiment,48.6,58.0,139.9
G8,8,experiment,45.2,52.9,136.6
H8,8,experiment,41.6,45.8,131.3
A9,9,control,123.5,125.8,123.4
B9,9,control,126.0,128.3,125.0
C9,9,control,125.4,128.6,125.2
D9,9,control,121.6,126.9,125.6
E9,9,experiment,32.9,147.0,219.8
F9,9,experiment,30.3,120.1,200.5
G9,9,experiment,32.8,101.7,180.7
H9,9,experiment,28.6,93.9,175.1
A10,10,control,132.6,136.8,133.7
B10,10,control,134.5,139.0,135.0
C10,10,control,136.1,139.0,134.9
D10,10,control,132.4,134.5,131.2
E10,10,experiment,158.4,80.0,96.0
F10,10,experiment,149.6,70.6,86.9
G10,10,experiment,152.2,64.9,82.6
H10,10,experiment,130.7,57.5,77.0
