iteration,column,phase,Vr,Vg,Vb,obs_R,obs_G,obs_B,distance,timestamp
0,1,random,67.49,65.58,66.94,109.1,94.0,123.8,162.47,2026-03-31T12:09:41.826680
1,2,random,30.77,9.5,159.73,101.2,97.7,162.0,137.55,2026-03-31T12:12:08.550145
2,3,random,61.12,135.44,3.44,179.4,124.0,125.0,186.88,2026-03-31T12:14:35.250126
3,4,bo,71.08,29.55,99.36,101.1,89.4,126.7,158.66,2026-03-31T12:17:42.291430
4,5,bo,59.45,31.86,108.69,94.7,88.5,129.3,157.3,2026-03-31T12:21:24.257980
5,6,bo,31.69,35.75,132.56,82.1,84.1,152.3,140.47,2026-03-31T12:25:08.936812
6,7,bo,125.83,10.69,63.47,90.2,68.2,110.3,164.35,2026-03-31T12:28:54.901090
7,8,bo,25.29,0.53,174.18,53.8,63.0,156.9,138.17,2026-03-31T12:32:13.085710
8,9,bo,5.1,112.06,82.84,36.6,135.1,221.3,166.56,2026-03-31T12:35:49.966881
9,10,bo,149.61,38.72,11.67,159.4,75.2,93.5,180.96,2026-03-31T12:39:28.693509
