well,column,row_type,R,G,B
A1,1,control,150.5,50.6,58.9
B1,1,control,34.3,77.2,167.0
C1,1,control,38.7,126.9,86.1
D1,1,control,151.2,155.7,150.6
E1,1,experiment,81.2,65.4,100.4
F1,1,experiment,81.4,64.8,99.0
G1,1,experiment,86.6,67.9,99.1
H1,1,experiment,71.8,53.1,89.1
