iteration,phase,column,volumes,observed_rgb,distance,run_id,status,used_calibration
1,random,1,"[67.5, 65.6, 66.9]","[168.0, 153.0, 168.0]",117.7,3eb14264-1931-48a7-897e-7c05a037ae87,completed,True
2,random,2,"[30.8, 9.5, 159.7]","[115.0, 114.0, 174.0]",92.4,2bb5369d-8e60-41b8-9500-1dd27a4d4aba,completed,True
