iteration,column,phase,Vr,Vg,Vb,obs_R,obs_G,obs_B,distance,timestamp
0,1,random,67.49,65.58,66.94,58.0,39.4,83.3,96.79,2026-03-31T13:06:18.267833
1,2,random,30.77,9.5,159.73,57.7,48.5,123.7,78.71,2026-03-31T13:08:40.521976
2,3,random,61.12,135.44,3.44,157.5,75.3,80.5,116.99,2026-03-31T13:11:02.116243
3,4,random,94.88,6.39,98.73,60.3,43.2,82.7,99.58,2026-03-31T13:13:23.702238
4,5,random,103.37,23.1,73.53,65.2,38.9,84.9,94.89,2026-03-31T13:15:45.424464
5,6,bo,118.84,56.94,24.22,91.3,43.6,75.9,101.8,2026-03-31T13:18:53.357081
6,7,bo,8.56,165.05,26.39,32.7,162.6,175.3,137.26,2026-03-31T13:22:32.916746
7,8,bo,148.76,34.89,16.35,114.1,38.2,65.7,106.01,2026-03-31T13:26:10.949037
8,9,bo,20.93,90.28,88.79,47.4,56.7,133.8,79.43,2026-03-31T13:29:45.078897
9,10,bo,177.66,21.24,1.1,231.5,59.8,76.7,126.24,2026-03-31T13:33:23.355852
10,11,bo,108.8,76.2,15.0,122.6,57.3,80.4,106.64,2026-03-31T13:36:58.879052
11,12,bo,1.44,63.76,134.81,20.8,128.3,252.2,70.77,2026-03-31T13:40:36.270445
